Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Profit
NCB42,11.8,Low Fat,0.008596051,Health and Hygiene,115.3,OUT018,2009,Medium,Tier 2,Supermarket Type2,1621.8888,8.6
FDP49,9,Regular,0.069196376,Breakfast,54.4,OUT049,1999,Medium,Tier 2,Supermarket Type1,718.3982,14.8
DRI11,,Low Fat,0.034237682,Hard Drinks,113.3,OUT027,1985,Medium,Tier 2,Supermarket Type3,2303.668,14.4
FDU02,13.35,Low Fat,0.10249212,Dairy,230.5,OUT035,2004,Small,Tier1,Supermarket Type1,2748.4224,14
FDN22,18.85,Regular,0.138190277,Snack Foods,250.9,OUT013,1987,High,Tier 3,Supermarket Type1,3775.086,14.6
FDW12,,Regular,0.035399923,Baking Goods,144.5,OUT027,1985,Medium,Tier 2,Supermarket Type3,4064.0432,14.7
NCB30,14.6,Low Fat,0.025698134,Household,196.5,OUT035,2004,Small,Tier1,Supermarket Type1,1587.2672,14.4
FDC37,,Low Fat,0.057556998,Baking Goods,107.7,OUT019,1985,Small,Tier1,Grocery Store,214.3876,13.7
FDR28,13.85,Regular,0.025896485,Frozen Foods,165,OUT046,1997,Small,Tier1,Supermarket Type1,4078.025,14.3
NCD06,13,Low Fat,0.099887103,Household,45.9,OUT017,2007,,,Supermarket Type1,838.908,14.3
FDV10,7.645,Regular,0.066693437,Snack Foods,42.3,OUT035,2004,Small,Tier1,Supermarket Type1,1065.28,13.3
DRJ59,11.65,low fat,0.019356132,Hard Drinks,39.1,OUT013,1987,High,Tier 3,Supermarket Type1,308.9312,14.5
FDE51,5.925,Regular,0.161466534,Dairy,45.5,OUT010,1998,,,Grocery Store,178.4344,14
FDC14,,Regular,0.072221801,Canned,43.6,OUT019,1985,Small,Tier1,Grocery Store,125.8362,10.8
FDV38,19.25,Low Fat,0.170348551,Dairy,55.8,OUT010,1998,,,Grocery Store,163.7868,11.7
NCS17,18.6,Low Fat,0.080829372,Health and Hygiene,96.4,OUT018,2009,Medium,Tier 2,Supermarket Type2,2741.7644,13.4
FDP33,18.7,Low Fat,0,Snack Foods,256.7,OUT018,2009,Medium,Tier 2,Supermarket Type2,3068.0064,14.3
FDO23,17.85,Low Fat,0,Breads,93.1,OUT045,2002,,,Supermarket Type1,2174.5028,11.7
DRH01,17.5,Low Fat,0.097904029,Soft Drinks,174.9,OUT046,1997,Small,Tier1,Supermarket Type1,2085.2856,14.3
NCX29,10,Low Fat,0.089291137,Health and Hygiene,146.7,OUT049,1999,Medium,Tier 2,Supermarket Type1,3791.0652,14
FDV20,0,Regular,0.059511812,Fruits and Vegetables,128.1,OUT027,1985,Medium,Tier 2,Supermarket Type3,2797.6916,12.4
DRZ11,8.85,Regular,0.113123893,Soft Drinks,122.5,OUT018,2009,Medium,Tier 2,Supermarket Type2,1609.9044,14.3
FDX10,0,Regular,0.123111453,Snack Foods,37,OUT027,1985,Medium,Tier 2,Supermarket Type3,388.1614,14.3
FDB34,0,Low Fat,0.026480954,Snack Foods,87.6,OUT027,1985,Medium,Tier 2,Supermarket Type3,2180.495,14.6
FDU02,13.35,Low Fat,0.102511504,Dairy,230.6,OUT046,1997,Small,Tier1,Supermarket Type1,3435.528,14.2
FDK43,9.8,Low Fat,0.02681843,Meat,126,OUT013,1987,High,Tier 3,Supermarket Type1,2150.534,6.9
FDA46,13.6,Low Fat,0.117818348,Snack Foods,192.9,OUT049,1999,Medium,Tier 2,Supermarket Type1,2527.3768,14.5
FDC02,21.35,Low Fat,0.069102831,Canned,259.9,OUT018,2009,Medium,Tier 2,Supermarket Type2,6768.5228,12.4
FDL50,12.15,Regular,0.042277867,Canned,126.5,OUT013,1987,High,Tier 3,Supermarket Type1,373.5138,14.3
FDM39,6.42,LF,0.089498926,Dairy,178.1,OUT010,1998,,  --,Grocery Store,358.2004,8.8
NCP05,19.6,Low Fat,0,Health and Hygiene,153.3,OUT045,2002,,,Supermarket Type1,2428.8384,13.7
FDV49,10,Low Fat,0.025879577,Canned,265.2,OUT045,2002,,,Supermarket Type1,5815.0972,12.8
FDL12,15.85,Regular,0.121632721,Baking Goods,60.6,OUT046,1997,Small,Tier1,Supermarket Type1,2576.646,14.4
FDS02,0,Regular,0.255394896,Dairy,196.9,OUT019,1985,Small,Tier1,Grocery Store,780.3176,14.7
NCL17,7.39,Low Fat,0.067779712,Health and Hygiene,143.9,OUT046,1997,Small,Tier1,Supermarket Type1,3134.5864,7.4
FDM40,10.195,Low Fat,0.159803853,Frozen Foods,141.5,OUT013,1987,High,Tier 3,Supermarket Type1,850.8924,14.7
FDR13,9.895,Regular,0.028696932,Canned,117,OUT013,1987,High,Tier 3,Supermarket Type1,810.9444,11.2
FDA43,10.895,Low Fat,0.065041581,Fruits and Vegetables,196.4,OUT017,2007,,,Supermarket Type1,3121.2704,14.7
NCP18,12.15,Low Fat,0.028760013,Household,151.5,OUT017,2007,,,Supermarket Type1,4815.0656,13
FDK21,7.905,Low Fat,0.010053105,Snack Foods,249,OUT018,2009,Medium,Tier 2,Supermarket Type2,6258.52,12.8
NCX54,9.195,Low Fat,0.048157338,Household,106.2,OUT045,2002,,,Supermarket Type1,2117.244,14.4
DRK35,8.365,Low Fat,0.071958197,Hard Drinks,38.1,OUT049,1999,Medium,Tier 2,Supermarket Type1,796.9626,14.8
FDY21,15.1,Low Fat,0.173481304,Snack Foods,194.5,OUT046,1997,Small,Tier1,Supermarket Type1,4910.275,14.4
FDI26,0,Low Fat,0.061082177,Canned,180,OUT019,1985,Small,Tier1,Grocery Store,892.172,14.7
FDM20,10,Low Fat,0,Fruits and Vegetables,246.9,OUT018,2009,Medium,Tier 2,Supermarket Type2,3185.1872,14.6
FDV27,7.97,Regular,0.040071131,Meat,138.5,OUT045,2002,,,Supermarket Type1,1062.6168,14.4
FDF09,0,Low Fat,0.012090074,Fruits and Vegetables,38.3,OUT027,1985,Medium,Tier 2,Supermarket Type3,484.7024,13.9
FDY40,0,Regular,0.15028599,Frozen Foods,51.1,OUT019,1985,Small,Tier1,Grocery Store,147.8076,12.6
FDY45,0,Low Fat,0.026015519,Snack Foods,255.8,OUT027,1985,Medium,Tier 2,Supermarket Type3,2543.356,14.8
FDC46,17.7,LF,0.195068226,Snack Foods,185.4,OUT010,1998,,  --,Grocery Store,184.4266,14.6
FDH19,19.35,Low Fat,0.033082215,Meat,172.6,OUT035,2004,Small,Tier1,Supermarket Type1,4865.6664,14.2
FDZ03,13.65,Regular,0.078946455,Dairy,186,OUT045,2002,,,Supermarket Type1,1118.544,14.3
DRH37,17.6,Low Fat,0.041700756,Soft Drinks,164.9,OUT045,2002,,,Supermarket Type1,2302.3364,13.9
NCI17,8.645,Low Fat,0.143422643,Health and Hygiene,95.8,OUT046,1997,Small,Tier1,Supermarket Type1,2027.361,14.5
FDJ58,15.6,Regular,0.105296072,Snack Foods,170.2,OUT046,1997,Small,Tier1,Supermarket Type1,3435.528,14.7
FDL12,15.85,Regular,0.121531501,Baking Goods,59.2,OUT013,1987,High,Tier 3,Supermarket Type1,599.22,13.3
FDH35,18.25,Low Fat,0,Starchy Foods,164.8,OUT045,2002,,,Supermarket Type1,4604.6728,14.4
FDG02,7.855,Low Fat,0.011324862,Canned,189.6,OUT017,2007,,,Supermarket Type1,2285.0256,14.5
NCZ18,7.825,low fat,0.186357148,Household,254.4,OUT049,1999,Medium,Tier 2,Supermarket Type1,5580.7356,9.7
FDC29,8.39,Regular,0.024205661,Frozen Foods,114,OUT046,1997,Small,Tier1,Supermarket Type1,2290.352,14.2
FDQ10,12.85,Low Fat,0.033230816,Snack Foods,172.3,OUT049,1999,Medium,Tier 2,Supermarket Type1,1207.0954,12.8
FDN48,0,Low Fat,0.113720344,Baking Goods,90,OUT019,1985,Small,Tier1,Grocery Store,643.1628,10.6
FDL04,19,Low Fat,0.112556507,Frozen Foods,105,OUT017,2007,,,Supermarket Type1,1587.933,14.6
FDV25,5.905,Low Fat,0,Canned,222.5,OUT045,2002,,,Supermarket Type1,5305.0944,13.9
FDD58,7.76,Low Fat,0.059352241,Snack Foods,101.9,OUT046,1997,Small,Tier1,Supermarket Type1,1697.79,13.6
FDN04,11.8,reg,0.014087057,Frozen Foods,180.3,OUT046,1997,Small,Tier1,Supermarket Type1,1427.4752,13.9
FDV45,16.75,low fat,0.045230944,Snack Foods,188,OUT018,2009,Medium,Tier 2,Supermarket Type2,4693.89,12.7
NCL18,0,Low Fat,0.293417759,Household,194.6,OUT019,1985,Small,Tier1,Grocery Store,583.2408,14.1
FDR12,0,Regular,0.031382044,Baking Goods,171.4,OUT027,1985,Medium,Tier 2,Supermarket Type3,3091.9752,13.4
FDG20,15.5,Regular,0.12639886,Fruits and Vegetables,177,OUT017,2007,,,Supermarket Type1,2479.4392,14.3
FDZ55,6.055,Low Fat,0.025403898,Fruits and Vegetables,161,OUT035,2004,Small,Tier1,Supermarket Type1,2716.464,14.7
FDQ49,0,Regular,0.039057677,Breakfast,156,OUT027,1985,Medium,Tier 2,Supermarket Type3,3285.723,13.9
FDN33,6.305,Regular,0.123115764,Snack Foods,95.6,OUT046,1997,Small,Tier1,Supermarket Type1,661.8052,13.4
FDN27,20.85,Low Fat,0.039624006,Meat,117.3,OUT049,1999,Medium,Tier 2,Supermarket Type1,1523.3504,14
FDW20,20.75,Low Fat,0.040421193,Fruits and Vegetables,122.2,OUT010,1998,,,Grocery Store,369.519,14.2
DRG27,8.895,Low Fat,0.105274111,Dairy,39.9,OUT049,1999,Medium,Tier 2,Supermarket Type1,690.4346,14.3
DRI25,19.6,Low Fat,0.033970195,Soft Drinks,55.2,OUT045,2002,,  --,Supermarket Type1,1381.535,14.4
FDA44,19.7,Low Fat,0.053212652,Fruits and Vegetables,57.9,OUT035,2004,Small,Tier1,Supermarket Type1,622.523,14.1
NCR17,9.8,Low Fat,0.024378706,Health and Hygiene,114.5,OUT035,2004,Small,Tier1,Supermarket Type1,1274.3412,13.3
FDU04,0,Low Fat,0.009714595,Frozen Foods,120,OUT019,1985,Small,Tier1,Grocery Store,487.3656,13.6
FDF41,12.15,Low Fat,0.131383762,Frozen Foods,246,OUT049,1999,Medium,Tier 2,Supermarket Type1,1231.73,14.6
FDB56,8.75,Regular,0.07461309,Fruits and Vegetables,187.5,OUT035,2004,Small,Tier1,Supermarket Type1,3755.112,14.4
NCP18,0,Low Fat,0.028459761,Household,150,OUT027,1985,Medium,Tier 2,Supermarket Type3,4363.6532,13.8
FDB56,8.75,Regular,0.074627201,Fruits and Vegetables,187.9,OUT046,1997,Small,Tier1,Supermarket Type1,1314.2892,14.4
FDT28,13.3,Low Fat,0.063695084,Frozen Foods,151.1,OUT045,2002,,,Supermarket Type1,1805.6496,14.3
FDD10,0,Regular,0.045797829,Snack Foods,178.5,OUT027,1985,Medium,Tier 2,Supermarket Type3,2854.9504,11.2
FDW57,8.31,Regular,0.115857223,Snack Foods,179.1,OUT049,1999,Medium,Tier 2,Supermarket Type1,3896.2616,14
DRB48,16.75,Regular,0.024832806,Soft Drinks,38.8,OUT013,1987,High,Tier 3,Supermarket Type1,667.7974,14.6
FDP09,19.75,Low Fat,0.034027909,Snack Foods,212.1,OUT018,2009,Medium,Tier 2,Supermarket Type2,3185.853,14.2
FDH14,17.1,Regular,0.0467696,Canned,141.2,OUT013,1987,High,Tier 3,Supermarket Type1,2247.7408,13.7
FDA47,10.5,Regular,0.116576702,Baking Goods,163.1,OUT013,1987,High,Tier 3,Supermarket Type1,1794.331,12.6
FDG12,6.635,Regular,0,Baking Goods,121.3,OUT045,2002,,,Supermarket Type1,2530.7058,14
DRE60,0,low fat,0.278974075,Soft Drinks,225.4,OUT019,1985,Small,Tier1,Grocery Store,679.116,14.5
DRK49,14.15,Low Fat,0.035913805,Soft Drinks,41.4,OUT013,1987,High,Tier 3,Supermarket Type1,812.276,14.1
FDD03,13.3,Low Fat,0.079806266,Dairy,232.5,OUT046,1997,Small,Tier1,Supermarket Type1,699.09,14.5
FDS52,8.89,low fat,0.005505481,Frozen Foods,102.4,OUT017,2007,,na,Supermarket Type1,2732.4432,14.3
FDW39,0,Regular,0.064625342,Meat,176.9,OUT019,1985,Small,Tier1,Grocery Store,176.437,11
FDX34,0,Low Fat,0.071636937,Snack Foods,121.7,OUT027,1985,Medium,Tier 2,Supermarket Type3,4097.3332,14.8
FDV11,9.1,Regular,0,Breads,173.2,OUT045,2002,,na,Supermarket Type1,3151.8972,14.3
FDD17,7.5,Low Fat,0.032677678,Frozen Foods,239.1,OUT049,1999,Medium,Tier 2,Supermarket Type1,5942.265,13.2
FDZ16,16.85,Regular,0.160760054,Frozen Foods,192.4,OUT017,2007,,na,Supermarket Type1,4843.695,13.9
FDZ46,7.485,Low Fat,0.06911065,Snack Foods,109,OUT035,2004,Small,Tier1,Supermarket Type1,2542.0244,14.2
DRA12,11.6,Low Fat,0.041177505,Soft Drinks,140.3,OUT017,2007,,  --,Supermarket Type1,2552.6772,13.1
FDY58,11.65,Low Fat,0.040081193,Snack Foods,227.1,OUT018,2009,Medium,Tier 2,Supermarket Type2,1141.847,14.5
NCF19,13,Low Fat,0.035307322,Household,47.5,OUT017,2007,,na,Supermarket Type1,680.4476,14.4
DRJ13,12.65,LF,0.063017847,Soft Drinks,159.1,OUT045,2002,,na,Supermarket Type1,2085.9514,14.2
FDB14,20.25,Regular,0.171938781,Canned,92.5,OUT010,1998,,na,Grocery Store,186.424,13.2
FDJ38,8.6,Regular,0.040197932,Canned,190.2,OUT035,2004,Small,Tier1,Supermarket Type1,3036.048,13.8
FDW11,12.6,Low Fat,0.049058014,Breads,62.7,OUT017,2007,,na,Supermarket Type1,866.8716,13.8
FDL40,17.7,Low Fat,0.01161096,Frozen Foods,95,OUT035,2004,Small,Tier1,Supermarket Type1,868.869,13.8
DRI49,14.15,Low Fat,0.183507295,Soft Drinks,82.4,OUT046,1997,Small,Tier1,Supermarket Type1,1137.1864,13.2
FDV38,19.25,Low Fat,0.102349519,Dairy,52.8,OUT017,2007,,na,Supermarket Type1,928.1252,13.6
DRG23,8.88,Low Fat,0.086708987,Hard Drinks,151.8,OUT013,1987,High,Tier 3,Supermarket Type1,762.341,13.8
NCP30,20.5,Low Fat,0.032835147,Household,40.3,OUT045,2002,,na,Supermarket Type1,707.0796,11.5
FDY25,0,Low Fat,0.033809913,Canned,180.6,OUT027,1985,Medium,Tier 2,Supermarket Type3,7968.2944,14.7
NCH54,13.5,Low Fat,0.07266912,Household,160.3,OUT046,1997,Small,Tier1,Supermarket Type1,1438.128,13.5
NCR53,0,Low Fat,0.144338493,Health and Hygiene,224.4,OUT027,1985,Medium,Tier 2,Supermarket Type3,6976.2524,14.3
FDS52,8.89,Low Fat,0.009163216,Frozen Foods,101.7,OUT010,1998,,na,Grocery Store,101.2016,11.3
FDG02,7.855,Low Fat,0.011307038,Canned,188.5,OUT018,2009,Medium,Tier 2,Supermarket Type2,952.094,14.4
NCO26,7.235,Low Fat,0.076855628,Household,116,OUT046,1997,Small,Tier1,Supermarket Type1,1969.4364,12.5
FDH35,,Low Fat,0.059956876,Starchy Foods,165.5,OUT027,1985,Medium,Tier 2,Supermarket Type3,5262.4832,14
FDB51,6.92,Low Fat,0.038532062,Dairy,60.6,OUT045,2002,,,Supermarket Type1,1314.2892,13.7
FDX44,9.3,Low Fat,0.043209581,Fruits and Vegetables,90.8,OUT017,2007,,,Supermarket Type1,535.3032,14.1
NCN07,18.5,Low Fat,0.056816465,Others,132.1,OUT010,1998,,  --,Grocery Store,263.6568,14.3
NCC31,8.02,Low Fat,0.019866705,Household,154.6,OUT035,2004,Small,Tier1,Supermarket Type1,1402.1748,14.3
NCX54,9.195,Low Fat,0.048331717,Household,105.2,OUT017,2007,,na,Supermarket Type1,1693.7952,14.4
NCO55,12.8,Low Fat,0.091221855,Others,105.6,OUT045,2002,,na,Supermarket Type1,2143.876,14.2
NCC30,16.6,Low Fat,0.027622076,Household,177.6,OUT049,1999,Medium,Tier 2,Supermarket Type1,2676.516,14.7
FDI16,14,Regular,0,Frozen Foods,53.1,OUT035,2004,Small,Tier1,Supermarket Type1,905.488,7.7
FDP16,18.6,Low Fat,0.039355947,Frozen Foods,246.4,OUT049,1999,Medium,Tier 2,Supermarket Type1,7370.406,12.8
FDB11,16,Low Fat,0.060836524,Starchy Foods,226.8,OUT035,2004,Small,Tier1,Supermarket Type1,6301.1312,13.8
NCB06,17.6,Low Fat,0.082316506,Health and Hygiene,160.7,OUT035,2004,Small,Tier1,Supermarket Type1,1597.92,13.5
FDA45,21.25,Low Fat,0.155350299,Snack Foods,178.2,OUT035,2004,Small,Tier1,Supermarket Type1,529.311,14.1
NCO26,7.235,Low Fat,0.076841095,Household,117.5,OUT035,2004,Small,Tier1,Supermarket Type1,1969.4364,10.5
DRJ25,14.6,Low Fat,0.151419185,Soft Drinks,50.4,OUT017,2007,,  --,Supermarket Type1,1034.6532,14.4
FDR28,13.85,reg,0.026001976,Frozen Foods,161.5,OUT018,2009,Medium,Tier 2,Supermarket Type2,1794.331,13.5
FDI04,13.65,Regular,0.073209447,Frozen Foods,197.6,OUT018,2009,Medium,Tier 2,Supermarket Type2,2768.3964,14.3
DRK12,,Low Fat,0.041683481,Soft Drinks,31.3,OUT027,1985,Medium,Tier 2,Supermarket Type3,898.83,11.7
FDX20,7.365,Low Fat,0.042560252,Fruits and Vegetables,226.2,OUT046,1997,Small,Tier1,Supermarket Type1,3169.208,14
NCI18,18.35,Low Fat,0.014081156,Household,223.6,OUT018,2009,Medium,Tier 2,Supermarket Type2,3589.9936,13.1
FDB36,5.465,Regular,0,Baking Goods,132.6,OUT018,2009,Medium,Tier 2,Supermarket Type2,262.3252,14.8
FDN13,18.6,Low Fat,0.152918384,Breakfast,99.8,OUT017,2007,,,Supermarket Type1,1910.1802,14.8
DRD24,13.85,Low Fat,0.030969274,Soft Drinks,140.9,OUT017,2007,,,Supermarket Type1,1701.7848,14.3
FDQ28,14,Regular,0.060376776,Frozen Foods,154.6,OUT013,1987,High,Tier 3,Supermarket Type1,2471.4496,14.4
FDM22,14,Regular,0.04192285,Snack Foods,54.8,OUT013,1987,High,Tier 3,Supermarket Type1,1331.6,13.6
FDR07,,Low Fat,0.077367431,Fruits and Vegetables,97,OUT027,1985,Medium,Tier 2,Supermarket Type3,1808.9786,11.8
FDV25,5.905,Low Fat,0.045838211,Canned,222.5,OUT018,2009,Medium,Tier 2,Supermarket Type2,3315.684,13.3
DRF49,7.27,Low Fat,0.071077939,Soft Drinks,114.3,OUT046,1997,Small,Tier1,Supermarket Type1,2618.5914,14.4
FDW51,6.155,Regular,0.094659871,Meat,214.6,OUT046,1997,Small,Tier1,Supermarket Type1,2769.728,13.9
DRL01,19.5,Regular,0.077608838,Soft Drinks,233.5,OUT017,2007,,,Supermarket Type1,5375.0034,13.9
FDP25,15.2,Low Fat,0.021327477,Canned,216.9,OUT017,2007,,,Supermarket Type1,2838.9712,13.6
FDL50,12.15,Regular,0.042485444,Canned,125,OUT018,2009,Medium,Tier 2,Supermarket Type2,1743.0644,14.4
NCB30,,Low Fat,0.025578526,Household,198.8,OUT027,1985,Medium,Tier 2,Supermarket Type3,5555.4352,13.9
FDW11,12.6,Low Fat,0.0489808,Breads,61.9,OUT018,2009,Medium,Tier 2,Supermarket Type2,619.194,14.2
NCM43,14.5,Low Fat,0.019471688,Others,164.8,OUT035,2004,Small,Tier1,Supermarket Type1,2120.573,12.9
FDK44,16.6,Low Fat,0.122918852,Fruits and Vegetables,173.1,OUT017,2007,,,Supermarket Type1,3823.0236,10.9
FDM15,11.8,Regular,0.057373797,Meat,151.4,OUT013,1987,High,Tier 3,Supermarket Type1,1360.2294,12.3
FDS31,13.1,Regular,0.044155597,Fruits and Vegetables,178.8,OUT013,1987,High,Tier 3,Supermarket Type1,3969.4996,14.1
FDI32,17.7,Low Fat,0.291865402,Fruits and Vegetables,115.2,OUT010,1998,,,Grocery Store,345.5502,13.4
FDR47,17.85,LF,0,Breads,196.6,OUT010,1998,,,Grocery Store,585.2382,14.1
FDB35,12.3,Regular,0.064750025,Starchy Foods,92.7,OUT045,2002,,,Supermarket Type1,1010.6844,14.3
NCU05,11.8,Low Fat,0.098312421,Health and Hygiene,81.5,OUT010,1998,,,Grocery Store,161.1236,14.7
DRY23,,Regular,0.191013663,Soft Drinks,42.1,OUT019,1985,Small,Tier1,Grocery Store,42.6112,13.8
FDO24,11.1,Low Fat,0.176573035,Baking Goods,157.5,OUT045,2002,,,Supermarket Type1,3010.7476,13.7
FDQ28,,Regular,0.060134441,Frozen Foods,153.1,OUT027,1985,Medium,Tier 2,Supermarket Type3,6024.1584,13.6
FDV39,11.3,Low Fat,0.007294652,Meat,198.1,OUT045,2002,,na,Supermarket Type1,988.713,12.7
NCO17,,Low Fat,0.128478462,Health and Hygiene,117.9,OUT019,1985,Small,Tier1,Grocery Store,239.688,14.7
FDU50,5.75,Regular,0.075107656,Dairy,112.8,OUT013,1987,High,Tier 3,Supermarket Type1,1374.2112,14.3
FDT12,,Regular,0.049381406,Baking Goods,226.8,OUT027,1985,Medium,Tier 2,Supermarket Type3,4739.8302,14.4
FDK58,11.35,Regular,0.045165796,Snack Foods,100,OUT018,2009,Medium,Tier 2,Supermarket Type2,1012.016,13.1
FDO08,,Regular,0.09415375,Fruits and Vegetables,165.8,OUT019,1985,Small,Tier1,Grocery Store,657.8104,14.6
NCW29,14,Low Fat,0.028907832,Health and Hygiene,130.4,OUT049,1999,Medium,Tier 2,Supermarket Type1,778.986,13.9
FDE04,19.75,Regular,0.018059621,Frozen Foods,179.8,OUT045,2002,,na,Supermarket Type1,2336.958,13.6
NCB19,6.525,Low Fat,0.090436094,Household,85.1,OUT049,1999,Medium,Tier 2,Supermarket Type1,2233.0932,13.8
FDV15,10.3,Low Fat,0.146399712,Meat,104,OUT049,1999,Medium,Tier 2,Supermarket Type1,1661.8368,13.7
FDL58,5.78,Regular,0.074264356,Snack Foods,264.8,OUT049,1999,Medium,Tier 2,Supermarket Type1,4745.8224,14.6
FDA08,11.85,Regular,0.050186726,Fruits and Vegetables,164.2,OUT045,2002,,na,Supermarket Type1,3124.5994,14.6
FDT43,16.35,Low Fat,0.020631654,Fruits and Vegetables,50.1,OUT018,2009,Medium,Tier 2,Supermarket Type2,467.3916,14.2
NCX06,,Low Fat,0.01561108,Household,182.6,OUT027,1985,Medium,Tier 2,Supermarket Type3,5070.7328,10.3
FDT20,10.5,Low Fat,0.041395445,Fruits and Vegetables,37.6,OUT046,1997,Small,Tier1,Supermarket Type1,540.6296,13.1
FDB41,19,Regular,0.097313129,Frozen Foods,48.1,OUT046,1997,Small,Tier1,Supermarket Type1,992.7078,12.1
NCN55,14.6,Low Fat,0.059582996,Others,238.9,OUT049,1999,Medium,Tier 2,Supermarket Type1,6008.845,12.7
FDE40,,Regular,0.098663652,Dairy,62.9,OUT027,1985,Medium,Tier 2,Supermarket Type3,2105.2596,14.1
FDX49,,reg,0.101338651,Canned,232.6,OUT027,1985,Medium,Tier 2,Supermarket Type3,5359.69,14.6
NCM53,18.75,Low Fat,0.052146456,Health and Hygiene,104.6,OUT045,2002,,,Supermarket Type1,745.696,14.5
FDE36,5.26,Regular,0.041764487,Baking Goods,161.9,OUT035,2004,Small,Tier1,Supermarket Type1,3275.736,13.7
FDN57,18.25,Low Fat,0.054344186,Snack Foods,140.2,OUT045,2002,,,Supermarket Type1,1701.7848,14.4
FDI24,,Low Fat,0.078362484,Baking Goods,177.9,OUT027,1985,Medium,Tier 2,Supermarket Type3,6704.606,13.8
FDI19,15.1,Low Fat,0.052339069,Meat,242.8,OUT046,1997,Small,Tier1,Supermarket Type1,4119.9704,14.3
FDF24,15.5,Regular,0.042464962,Baking Goods,81.6,OUT010,1998,,,Grocery Store,327.5736,14.3
FDG52,13.65,Low Fat,0.065732883,Frozen Foods,45.7,OUT049,1999,Medium,Tier 2,Supermarket Type1,780.9834,13.8
DRF36,16.1,LF,0.023625114,Soft Drinks,189.4,OUT045,2002,,,Supermarket Type1,3630.6074,12.3
FDS45,,Regular,0.051643608,Snack Foods,107.4,OUT019,1985,Small,Tier1,Grocery Store,317.5866,12
FDX40,12.85,Low Fat,0.165694219,Frozen Foods,39.7,OUT010,1998,,,Grocery Store,231.6984,9.7
DRK12,9.5,LF,0.041878397,Soft Drinks,33,OUT035,2004,Small,Tier1,Supermarket Type1,133.16,13.7
DRC27,13.8,Low Fat,0.058091482,Dairy,245.2,OUT035,2004,Small,Tier1,Supermarket Type1,5650.6446,14
FDL58,5.78,Regular,0,Snack Foods,263.8,OUT017,2007,,,Supermarket Type1,2636.568,14.2
NCD30,19.7,Low Fat,0.026903714,Household,96.1,OUT045,2002,,,Supermarket Type1,1272.3438,14.7
NCZ54,14.65,Low Fat,0,Household,161.6,OUT010,1998,,,Grocery Store,324.9104,14
FDE10,6.67,Regular,0.150554711,Snack Foods,130.1,OUT010,1998,,  --,Grocery Store,131.1626,13.9
FDR44,6.11,Regular,0,Fruits and Vegetables,131.3,OUT010,1998,,,Grocery Store,260.9936,14.3
FDP28,13.65,Regular,0.134975628,Frozen Foods,260.1,OUT010,1998,,,Grocery Store,260.9936,3.2
FDX15,17.2,Low Fat,0.15616879,Meat,160.7,OUT013,1987,High,Tier 3,Supermarket Type1,3690.5294,14.3
FDA39,6.32,LF,0,Meat,40.3,OUT035,2004,Small,Tier1,Supermarket Type1,1139.1838,14.2
