Age,Attrition,BusinessTravel,Department,DistanceFromHome,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,YearsAtCompany
23.0,Yes,Travel_Frequently,Sales,9.0,Marketing,4,Male,3,1,Sales Representative,1.0,1790.0,1,No,19,3,1
28.0,Yes,Travel_Rarely,Research & Development,24.0,Life Sciences,3,Male,2,1,Laboratory Technician,3.0,2028.0,5,Yes,14,3,4
34.0,No,Travel_Frequently,Sales,2.0,Marketing,3,Female,3,1,Sales Representative,3.0,,6,No,18,3,4
33.0,No,Non-Travel,Sales,8.0,Life Sciences,2,Female,2,1,Sales Representative,4.0,2342.0,0,No,19,3,2
,Yes,Travel_Frequently,Research & Development,1.0,Life Sciences,3,Female,4,3,Manufacturing Director,2.0,7446.0,1,No,11,3,10
25.0,No,Travel_Rarely,Research & Development,2.0,Medical,1,Male,4,1,Research Scientist,1.0,3424.0,7,No,13,3,4
,Yes,Travel_Frequently,Sales,1.0,Other,4,Male,3,2,Sales Executive,3.0,4728.0,3,Yes,14,3,0
37.0,No,Travel_Rarely,Research & Development,3.0,Other,3,Male,3,3,Manufacturing Director,3.0,9434.0,1,No,15,3,10
27.0,No,Travel_Rarely,Research & Development,5.0,Life Sciences,3,Female,3,1,Research Scientist,2.0,2478.0,1,Yes,12,3,4
,Yes,Travel_Rarely,Sales,12.0,Life Sciences,3,Female,4,1,Sales Representative,2.0,2716.0,1,No,15,3,1
,Yes,Travel_Rarely,Research & Development,2.0,Other,4,Male,2,1,Laboratory Technician,3.0,2090.0,6,Yes,15,3,0
45.0,No,Travel_Rarely,Research & Development,29.0,Medical,3,Male,3,1,Research Scientist,4.0,3452.0,5,No,13,3,6
45.0,Yes,,,26.0,Life Sciences,1,Female,3,2,Sales Executive,1.0,4286.0,2,No,14,3,1
30.0,No,Travel_Rarely,,10.0,Marketing,3,Male,2,2,Sales Executive,3.0,6578.0,1,No,18,3,10
,No,Travel_Rarely,Sales,10.0,Life Sciences,3,Male,3,1,Sales Representative,3.0,2642.0,1,No,11,3,1
31.0,Yes,Travel_Rarely,Research & Development,8.0,Life Sciences,1,Female,2,1,Research Scientist,2.0,1261.0,1,No,12,3,1
35.0,No,Travel_Frequently,Research & Development,2.0,Medical,2,Female,3,2,Laboratory Technician,2.0,4425.0,5,No,11,3,6
35.0,No,Travel_Rarely,,1.0,Marketing,3,Male,3,3,Sales Executive,2.0,,1,No,13,3,10
,No,Non-Travel,Sales,1.0,Medical,4,Female,3,2,Sales Executive,4.0,6653.0,4,No,15,3,1
,No,Travel_Rarely,Research & Development,,Medical,4,Female,2,3,Manufacturing Director,3.0,,3,Yes,19,3,5
29.0,Yes,Travel_Frequently,Sales,24.0,Technical Degree,3,Male,4,1,Sales Representative,1.0,1091.0,1,No,17,3,1
50.0,Yes,Travel_Frequently,Sales,1.0,Other,4,Male,3,2,Sales Executive,3.0,4728.0,3,Yes,14,3,0
33.0,No,Non-Travel,Research & Development,1.0,Medical,2,Male,2,1,Laboratory Technician,3.0,2008.0,1,No,12,3,1
35.0,No,Travel_Rarely,Research & Development,,Other,4,Female,2,2,Manufacturing Director,2.0,4788.0,0,Yes,11,3,3
26.0,Yes,Travel_Rarely,Sales,,Technical Degree,4,Male,2,2,Sales Executive,1.0,5326.0,6,No,17,3,4
36.0,No,Travel_Rarely,Sales,2.0,Medical,2,Male,2,3,Sales Executive,3.0,7596.0,1,No,13,3,10
46.0,No,Travel_Frequently,Research & Development,18.0,Medical,1,Female,3,3,Healthcare Representative,,,5,No,11,3,2
52.0,No,Travel_Frequently,Research & Development,28.0,Medical,4,Female,4,4,Manufacturing Director,3.0,13247.0,2,Yes,11,3,5
32.0,No,Travel_Frequently,Sales,10.0,Marketing,4,Male,3,2,Sales Executive,4.0,4648.0,8,No,13,3,0
32.0,No,Travel_Rarely,,,Life Sciences,2,Male,3,2,Research Scientist,2.0,6220.0,1,No,17,3,10
34.0,No,Travel_Rarely,Research & Development,6.0,Other,1,Female,3,2,Research Scientist,3.0,4809.0,1,No,14,3,16
34.0,Yes,,Sales,,Marketing,4,Female,1,1,Sales Representative,3.0,2351.0,0,No,16,3,2
22.0,No,Non-Travel,Research & Development,,Other,2,Female,2,1,Research Scientist,3.0,2814.0,1,Yes,14,3,4
20.0,Yes,Travel_Frequently,Sales,9.0,Marketing,4,Female,3,1,Sales Representative,4.0,2323.0,1,Yes,14,3,2
32.0,No,,Research & Development,1.0,Technical Degree,4,Male,3,2,Research Scientist,1.0,4087.0,4,No,14,3,6
44.0,Yes,Travel_Rarely,Research & Development,15.0,Medical,1,Female,3,3,Healthcare Representative,4.0,7978.0,1,No,11,3,10
44.0,No,Travel_Rarely,Research & Development,10.0,Other,4,Male,3,2,Healthcare Representative,4.0,6465.0,2,Yes,13,3,4
33.0,Yes,Travel_Rarely,Research & Development,14.0,Medical,3,Male,3,1,Laboratory Technician,4.0,,5,Yes,13,3,5
40.0,No,Travel_Rarely,Research & Development,2.0,Life Sciences,3,Female,3,1,Laboratory Technician,1.0,3377.0,4,No,17,3,4
31.0,Yes,Travel_Rarely,Sales,16.0,Marketing,1,Male,3,3,Sales Executive,3.0,8161.0,2,No,13,3,1
34.0,No,Travel_Rarely,Research & Development,7.0,Life Sciences,1,Female,3,3,Research Director,2.0,11994.0,0,No,11,3,12
41.0,No,Travel_Rarely,Research & Development,14.0,Life Sciences,1,Male,3,1,Research Scientist,3.0,2451.0,4,No,12,3,9
37.0,Yes,Travel_Rarely,Research & Development,11.0,Medical,1,Female,1,2,Healthcare Representative,2.0,4777.0,5,No,15,3,1
28.0,No,Travel_Rarely,Research & Development,21.0,Medical,3,Male,3,1,Research Scientist,4.0,2713.0,1,No,11,3,5
20.0,Yes,Travel_Rarely,Research & Development,11.0,Medical,4,Female,2,1,Research Scientist,1.0,2600.0,1,Yes,15,3,1
27.0,Yes,Travel_Frequently,Human Resources,22.0,Human Resources,1,Female,2,1,Human Resources,2.0,,1,No,12,3,1
47.0,No,Travel_Rarely,Sales,2.0,Life Sciences,2,Female,4,4,Manager,2.0,15972.0,6,No,14,3,3
56.0,Yes,Travel_Rarely,Research & Development,24.0,Life Sciences,1,Male,3,1,Laboratory Technician,4.0,2587.0,1,No,16,3,4
42.0,No,Non-Travel,Research & Development,21.0,Medical,3,Female,3,2,Manufacturing Director,3.0,5265.0,2,No,16,3,5
29.0,Yes,Travel_Rarely,Sales,23.0,Life Sciences,4,Female,2,3,Sales Executive,1.0,,1,No,13,3,11
24.0,No,,,17.0,Medical,4,Female,2,2,Manufacturing Director,3.0,4377.0,1,No,15,3,4
45.0,Yes,Travel_Frequently,Sales,26.0,Life Sciences,1,Female,3,2,Sales Executive,1.0,4286.0,2,No,14,3,1
50.0,Yes,,Sales,3.0,Marketing,1,Male,2,1,Sales Representative,3.0,2683.0,1,Yes,14,3,3
31.0,Yes,Travel_Rarely,Research & Development,8.0,Life Sciences,1,Female,2,1,Research Scientist,2.0,1261.0,1,No,12,3,1
24.0,Yes,Travel_Rarely,Research & Development,1.0,Medical,2,Male,3,1,Research Scientist,4.0,,2,Yes,16,3,2
34.0,No,Travel_Rarely,,21.0,Life Sciences,4,Male,4,2,Sales Executive,,5337.0,1,No,12,3,10
27.0,Yes,Travel_Frequently,Human Resources,22.0,Human Resources,1,Female,2,1,Human Resources,2.0,,1,No,12,3,1
29.0,Yes,Travel_Rarely,Research & Development,8.0,Other,2,Male,1,1,Laboratory Technician,1.0,2119.0,1,Yes,11,3,7
,Yes,Travel_Rarely,Research & Development,24.0,Life Sciences,3,Male,2,1,Laboratory Technician,3.0,2028.0,5,Yes,14,3,4
50.0,Yes,Travel_Rarely,Sales,3.0,Marketing,1,Male,2,1,Sales Representative,3.0,2683.0,1,Yes,14,3,3
30.0,No,Non-Travel,Research & Development,3.0,Life Sciences,3,Male,3,1,Laboratory Technician,4.0,2097.0,4,No,15,3,5
34.0,Yes,Travel_Rarely,Research & Development,6.0,Medical,2,Male,3,1,Research Scientist,1.0,2960.0,2,No,11,3,4
27.0,No,Travel_Rarely,Sales,10.0,Marketing,4,Female,2,2,Sales Executive,4.0,5769.0,1,Yes,11,3,6
,Yes,Travel_Rarely,Research & Development,,Life Sciences,3,Female,4,1,Laboratory Technician,1.0,2743.0,1,No,16,3,17
43.0,No,Travel_Rarely,Research & Development,11.0,Life Sciences,1,Male,3,3,Healthcare Representative,3.0,7510.0,1,No,17,3,10
24.0,Yes,Travel_Rarely,Human Resources,22.0,Human Resources,4,Male,1,1,Human Resources,3.0,,1,No,11,3,1
40.0,Yes,Travel_Rarely,Research & Development,9.0,Life Sciences,4,Male,3,1,Laboratory Technician,1.0,2018.0,3,No,14,3,5
48.0,No,Travel_Rarely,Sales,7.0,Marketing,3,Male,3,2,Sales Executive,1.0,5486.0,4,No,11,3,2
20.0,Yes,Travel_Frequently,Sales,9.0,Marketing,4,Female,3,1,Sales Representative,4.0,2323.0,1,Yes,14,3,2
38.0,No,Travel_Frequently,Research & Development,6.0,Life Sciences,1,Male,2,2,Manufacturing Director,3.0,5321.0,2,No,11,3,8
26.0,Yes,Travel_Rarely,Sales,,Technical Degree,4,Male,2,2,Sales Executive,1.0,5326.0,6,No,17,3,4
31.0,Yes,Travel_Frequently,Sales,26.0,Marketing,1,Male,3,2,Sales Executive,4.0,5617.0,1,Yes,11,3,10
22.0,No,,Research & Development,16.0,Medical,4,Male,4,1,Laboratory Technician,4.0,2935.0,1,Yes,13,3,1
33.0,No,Travel_Rarely,Research & Development,,Medical,2,Female,3,2,Healthcare Representative,4.0,4878.0,0,Yes,13,3,9
52.0,No,Travel_Rarely,Research & Development,2.0,Life Sciences,3,Female,2,1,Laboratory Technician,4.0,3212.0,7,No,15,3,2
32.0,No,Travel_Rarely,Research & Development,2.0,Medical,3,Female,3,1,Laboratory Technician,2.0,2370.0,1,No,13,3,8
42.0,No,Non-Travel,Human Resources,2.0,Medical,4,Male,4,2,Human Resources,1.0,6272.0,7,No,16,3,4
,No,Travel_Rarely,Sales,10.0,Marketing,3,Male,2,3,Sales Executive,3.0,8740.0,0,Yes,14,3,8
57.0,No,Travel_Rarely,Sales,29.0,Marketing,1,Male,2,4,Manager,4.0,14118.0,3,No,12,3,1
28.0,Yes,Travel_Rarely,Research & Development,2.0,Medical,1,Male,1,1,Research Scientist,4.0,3464.0,5,Yes,13,3,3
25.0,No,Travel_Rarely,Sales,3.0,Other,3,Male,3,2,Sales Executive,1.0,4194.0,1,Yes,18,3,5
28.0,Yes,Travel_Rarely,Research & Development,12.0,Life Sciences,3,Female,3,1,Laboratory Technician,4.0,2515.0,1,Yes,11,3,1
45.0,No,Travel_Rarely,,2.0,Other,4,Female,2,2,Manufacturing Director,4.0,5770.0,1,No,19,3,10
28.0,No,Travel_Rarely,Research & Development,1.0,Life Sciences,1,Male,2,1,Research Scientist,3.0,1563.0,1,No,14,3,1
38.0,Yes,Travel_Rarely,Research & Development,2.0,Medical,3,Male,3,2,Manufacturing Director,,4855.0,4,No,11,3,5
47.0,Yes,Travel_Frequently,Sales,27.0,Life Sciences,2,Female,4,2,Sales Executive,3.0,6397.0,4,Yes,12,3,5
50.0,Yes,Travel_Rarely,Sales,3.0,Marketing,1,Male,2,1,Sales Representative,3.0,2683.0,1,Yes,14,3,3
40.0,No,,Sales,4.0,Marketing,3,Male,2,3,Sales Executive,4.0,10855.0,7,No,11,3,12
26.0,Yes,,Research & Development,2.0,Life Sciences,1,Male,3,1,Research Scientist,1.0,2042.0,6,Yes,14,3,3
21.0,Yes,Travel_Rarely,Research & Development,10.0,Life Sciences,3,Female,2,1,Laboratory Technician,1.0,1416.0,1,No,13,3,1
47.0,Yes,Non-Travel,Research & Development,29.0,Life Sciences,1,Male,3,3,Manager,2.0,,1,Yes,12,3,10
29.0,Yes,Travel_Rarely,Research & Development,1.0,Technical Degree,1,Male,2,1,Research Scientist,1.0,2362.0,6,No,13,3,9
32.0,No,Non-Travel,,15.0,Medical,3,Female,3,2,Healthcare Representative,4.0,6667.0,5,No,18,3,5
33.0,No,Travel_Frequently,Research & Development,1.0,Other,3,Female,4,2,Healthcare Representative,2.0,5488.0,1,Yes,13,3,6
40.0,No,Travel_Rarely,Research & Development,19.0,Medical,3,Male,3,2,Laboratory Technician,4.0,2741.0,8,Yes,15,3,7
25.0,Yes,Travel_Rarely,Sales,5.0,Marketing,3,Male,2,2,Sales Executive,3.0,5744.0,1,Yes,11,3,6
23.0,Yes,Travel_Rarely,Research & Development,8.0,Medical,4,Male,2,1,Laboratory Technician,3.0,3989.0,1,Yes,11,3,5
35.0,No,Travel_Rarely,Research & Development,25.0,Other,1,Male,2,2,Laboratory Technician,4.0,3681.0,4,No,14,3,3
33.0,Yes,Travel_Rarely,Research & Development,1.0,Other,4,Male,3,1,Research Scientist,4.0,,1,Yes,13,3,10
46.0,Yes,,Sales,9.0,Medical,3,Male,2,3,Sales Executive,4.0,9619.0,1,No,16,3,9
39.0,No,Travel_Frequently,Sales,20.0,Life Sciences,3,Male,3,2,Sales Executive,4.0,4127.0,2,No,18,3,2
28.0,Yes,Travel_Rarely,Research & Development,17.0,Technical Degree,3,Male,2,1,Laboratory Technician,4.0,2367.0,5,No,12,3,4
26.0,Yes,Travel_Rarely,Research & Development,16.0,Medical,1,Male,3,1,Laboratory Technician,2.0,2373.0,2,Yes,13,3,3
29.0,Yes,Travel_Rarely,Research & Development,8.0,Other,2,Male,1,1,Laboratory Technician,1.0,2119.0,1,Yes,11,3,7
49.0,No,Travel_Rarely,Research & Development,1.0,Technical Degree,3,Female,3,1,Research Scientist,1.0,,2,No,16,3,4
34.0,No,Travel_Rarely,Research & Development,9.0,Medical,4,Female,2,3,Healthcare Representative,2.0,8621.0,1,No,14,3,8
40.0,No,Travel_Rarely,Sales,14.0,Life Sciences,4,Female,3,2,Sales Executive,1.0,4639.0,1,No,15,3,5
37.0,No,Travel_Rarely,Sales,2.0,Marketing,4,Male,3,2,Sales Executive,3.0,9602.0,4,Yes,11,3,3
49.0,No,Travel_Rarely,,,Life Sciences,3,Female,2,4,Healthcare Representative,3.0,13966.0,2,Yes,19,3,15
18.0,No,Non-Travel,Research & Development,14.0,Medical,2,Female,3,1,Research Scientist,3.0,1514.0,1,No,16,3,0
53.0,Yes,Travel_Rarely,,24.0,Life Sciences,1,Male,3,3,Sales Executive,1.0,10448.0,6,Yes,13,3,2
29.0,No,Travel_Rarely,Research & Development,15.0,Life Sciences,2,Female,1,1,Research Scientist,,2168.0,0,Yes,18,3,5
43.0,No,Travel_Frequently,Research & Development,10.0,Life Sciences,3,Female,2,2,Laboratory Technician,3.0,5257.0,1,No,11,3,9
23.0,No,Travel_Rarely,Research & Development,9.0,Medical,2,Male,3,1,Laboratory Technician,1.0,2500.0,1,No,14,3,4
60.0,No,Travel_Rarely,,16.0,Marketing,1,Male,3,2,Sales Executive,1.0,5405.0,8,No,14,3,2
21.0,Yes,Travel_Rarely,Sales,7.0,Marketing,2,Male,3,1,Sales Representative,2.0,2679.0,1,No,13,3,1
47.0,Yes,Travel_Frequently,Sales,27.0,Life Sciences,2,Female,4,2,Sales Executive,3.0,6397.0,4,Yes,12,3,5
54.0,No,Travel_Rarely,,17.0,Technical Degree,3,Female,3,3,Manufacturing Director,3.0,10739.0,8,No,11,3,10
39.0,No,Travel_Rarely,Research & Development,6.0,Life Sciences,2,Female,3,3,Manufacturing Director,2.0,8376.0,4,No,18,3,2
40.0,Yes,Non-Travel,Sales,,Life Sciences,2,Female,4,4,Sales Executive,2.0,13194.0,4,Yes,16,3,1
24.0,Yes,Travel_Rarely,Research & Development,17.0,Life Sciences,4,Female,3,1,Laboratory Technician,2.0,2210.0,1,No,13,3,1
22.0,No,Travel_Rarely,Research & Development,15.0,Medical,2,Female,3,1,Laboratory Technician,4.0,2871.0,1,No,15,3,0
41.0,No,Travel_Rarely,Research & Development,5.0,Life Sciences,2,Male,4,2,Healthcare Representative,2.0,6870.0,3,No,12,3,3
25.0,Yes,Travel_Rarely,Research & Development,3.0,Medical,1,Male,3,1,Laboratory Technician,1.0,4031.0,5,No,13,3,2
23.0,Yes,,Research & Development,8.0,Medical,4,Male,2,1,Laboratory Technician,3.0,3989.0,1,Yes,11,3,5
40.0,Yes,,,24.0,Life Sciences,2,Female,4,4,Sales Executive,2.0,13194.0,4,Yes,16,3,1
39.0,No,Travel_Rarely,Sales,21.0,Life Sciences,1,Male,2,2,Sales Executive,4.0,6120.0,3,Yes,12,3,5
,No,Travel_Frequently,Sales,2.0,Life Sciences,2,Male,3,2,Sales Executive,4.0,4554.0,1,No,18,3,10
33.0,No,Travel_Frequently,Research & Development,5.0,Life Sciences,4,Female,3,3,Manager,2.0,11878.0,6,No,11,3,10
44.0,Yes,Travel_Rarely,Research & Development,3.0,Life Sciences,1,Male,3,1,Laboratory Technician,1.0,,4,No,12,3,3
29.0,Yes,Travel_Rarely,Research & Development,18.0,Medical,3,Male,2,1,Research Scientist,4.0,2389.0,1,Yes,13,3,4
37.0,No,Travel_Rarely,Research & Development,11.0,Medical,1,Female,3,1,Laboratory Technician,3.0,3629.0,4,No,18,3,3
44.0,Yes,Travel_Rarely,Research & Development,10.0,Life Sciences,3,Male,3,1,Research Scientist,3.0,2936.0,1,Yes,11,3,6
,Yes,Travel_Frequently,Research & Development,1.0,Medical,1,Male,2,1,Laboratory Technician,2.0,2596.0,1,No,15,3,1
59.0,No,Travel_Frequently,Sales,,Life Sciences,1,Female,2,2,Sales Executive,3.0,5473.0,7,No,11,3,4
37.0,No,Non-Travel,Research & Development,5.0,Technical Degree,3,Male,4,1,Laboratory Technician,3.0,3500.0,0,No,14,3,6
55.0,No,Travel_Rarely,Research & Development,,Technical Degree,1,Male,2,1,Research Scientist,2.0,3537.0,5,No,12,3,4
,Yes,Travel_Frequently,,17.0,Life Sciences,2,Female,3,1,Human Resources,3.0,2741.0,0,Yes,11,3,7
25.0,Yes,Travel_Rarely,,3.0,Medical,1,Male,3,1,Laboratory Technician,1.0,4031.0,5,No,13,3,2
50.0,Yes,Travel_Frequently,Sales,1.0,Life Sciences,2,Male,3,2,Sales Executive,3.0,6728.0,7,No,12,3,6
44.0,Yes,Travel_Frequently,Research & Development,,Medical,3,Male,3,1,Research Scientist,2.0,2342.0,1,Yes,12,3,5
,No,Travel_Rarely,Research & Development,8.0,Life Sciences,4,Male,4,1,Laboratory Technician,4.0,2269.0,1,No,19,3,1
29.0,No,Travel_Rarely,Research & Development,19.0,Technical Degree,4,Male,3,2,Manufacturing Director,4.0,4262.0,4,No,12,3,3
36.0,Yes,Travel_Rarely,Research & Development,9.0,Medical,4,Male,2,1,Research Scientist,3.0,3388.0,0,Yes,17,3,1
42.0,No,Travel_Frequently,Research & Development,26.0,Medical,1,Female,3,3,Research Director,1.0,13191.0,3,Yes,17,3,1
30.0,Yes,Travel_Rarely,Research & Development,3.0,Technical Degree,4,Female,3,1,Research Scientist,1.0,2657.0,5,Yes,11,3,5
38.0,No,,Human Resources,,Other,4,Male,3,1,Human Resources,2.0,2991.0,0,Yes,11,3,6
51.0,No,Travel_Frequently,Research & Development,6.0,Medical,2,Female,2,1,Laboratory Technician,3.0,2838.0,0,No,14,3,7
30.0,No,Travel_Rarely,,7.0,Marketing,4,Male,3,1,Sales Representative,2.0,,0,No,14,3,3
28.0,Yes,Travel_Rarely,,24.0,Medical,3,Male,3,1,Laboratory Technician,2.0,2408.0,1,Yes,17,3,1
34.0,Yes,Travel_Frequently,Sales,6.0,Marketing,4,Female,1,1,Sales Representative,3.0,2351.0,0,No,16,3,2
36.0,Yes,Travel_Rarely,Research & Development,16.0,Life Sciences,3,Female,4,1,Laboratory Technician,1.0,2743.0,1,No,16,3,17
26.0,Yes,Travel_Rarely,Research & Development,24.0,Technical Degree,3,Male,1,1,Laboratory Technician,4.0,2340.0,1,Yes,18,3,1
25.0,Yes,Travel_Rarely,,4.0,Technical Degree,4,Male,3,1,Laboratory Technician,4.0,3691.0,1,Yes,15,3,7
,No,Travel_Frequently,Research & Development,19.0,Medical,3,Female,3,2,Laboratory Technician,2.0,4444.0,4,No,13,3,11
31.0,No,Travel_Rarely,Research & Development,20.0,Life Sciences,2,Male,3,2,Laboratory Technician,3.0,4197.0,1,No,11,3,10
29.0,Yes,,Research & Development,14.0,Other,3,Female,3,3,Healthcare Representative,4.0,7553.0,0,Yes,12,3,8
27.0,Yes,Travel_Frequently,Human Resources,22.0,Human Resources,1,Female,2,1,Human Resources,2.0,2863.0,1,No,12,3,1
,Yes,Travel_Rarely,Research & Development,1.0,Life Sciences,2,Female,2,1,Laboratory Technician,1.0,2319.0,1,Yes,11,3,1
37.0,Yes,,Sales,,Life Sciences,1,Male,2,3,Sales Executive,3.0,10609.0,5,No,11,3,14
31.0,Yes,Travel_Frequently,Sales,2.0,Life Sciences,3,Female,2,1,Sales Representative,4.0,2785.0,7,No,14,3,1
29.0,No,Travel_Rarely,Sales,3.0,Medical,2,Female,3,2,Sales Executive,3.0,5561.0,1,No,14,3,6
40.0,Yes,Travel_Rarely,Research & Development,7.0,Life Sciences,1,Male,3,1,Laboratory Technician,1.0,,3,Yes,14,3,4
